#;Type;Category;Bezeichnung (Topic) DE;Bezeichnung (Topic) EN;Variable Downlink Encoder;Header Downlink (Hex);Register Number Modbus;Modbus Protocol Address Decimal;Infotext Deutsch;Infotext Englisch;Wertebereich;Min ;Max;Res
26;Configuration;Controller;Wirksinn Analoger Ausgang Kühlen;Analog logic cooling;logic_analog_cooling;96;150;149;Wirksinn des analogen Kühlausgangs einstellen. (0 = 0-10 V, 1 = 10-0V);Set analog cooling output logic. (0 = 0-10 V, 1 = 10-0V);0...1;0;1;1
27;Runtime;Setpoint;Basissollwert;Base Setpoint;setpoint_base;100;256;255;Basissollwert in 0,1 K Schritten (0-50°C);Enter desired base setpoint in 0.1 K steps (e.g. 210 = 21.0 °C).;0…50;0;50;0.1
28;Runtime;Setpoint;Sollwert Offset;Setpoint Offset;setpoint_offset;101;257;256;Offset zum Basissollwert in 0,1 K Schritten (-15…+15K);Offset to base setpoint in 0.1 K steps (e.g. 10 = +1.0 K).;-15…15;-15;15;0.1
29;Runtime;Overwrite ;Vorgabe Präsenz;Presence Setting;presence_overwrite;102;258;257;Präsenzzustand überschreiben (0 = unbelegt, 1 =belegt);Override presence state. (0 = absent, 1 = present);0…1;0;1;1
30;Runtime;Overwrite ;Vorgabe Taupunkt;Dew Point Setting;dewpoint_overwrite;103;259;258;Taupunktsperre überschreiben (0 = Inaktiv, 1 = aktiv);Override dew point lock. (0 = Inactive, 1 = Active);0...1;0;1;1
31;Runtime;Overwrite ;Vorgabe Fensterkontakt/Energiesperre;Window Contact/Energy Lock;windowcontact_overwrite;104;260;259;Fenster/Energiesperre überschreiben (0 = Fenster geschlossen, 1 = Fenster offen (Energiesperre));Override window contact state/Energylock (0 = window closed, 1 = window open (energy lock));0...1;0;1;1
32;Runtime;Overwrite ;Vorgabe Change-Over;Change-Over Setting;changeover_overwrite;105;261;260;Betriebsart überschreiben. 0 = Heizen (Kühlen gesperrt), 1 =Kühlen (Heizen gesperrt), -1 = inaktiv;Override operating mode. 0 = Heat (Cooling disabled), 1 = Cool (Heating disabled), -1 = Inactive;-1…1;-1;1;1
33;Runtime;Overwrite ;Gerät Ein/Standby (Aus);Device On/Standby (Off);standby;106;262;261;Gerätestatus setzen. 0 = Ein (normaler Betrieb). 1 = Standby (Aus);Set device status. 0 = On (normal operation), 1 = Standby (Off);0...1;0;1;1
34;Runtime;Controller;Freigabe Tasten;Button Enable;button_enable;107;263;262;Tastensperrung einstellen (0 = alle Tasten frei, 1 = alle Tasten gesperrt, 2=Lüfterstufen gesperrt);Set key lock (0 = all keys enabled, 1 = all keys disabled, 2 = fan speed controls disabled);0…2;0;2;1
35;Runtime;Overwrite ;Vorgabe Alarm;Alarm Setting;alarm;108;264;263;Alarmzustand setzen. 0 = kein Alarm, 1 = Alarm aktiv.;Set alarm state. 0 = no alarm, 1 = alarm active.;0...1;0;1;1
36;Runtime;Time/Date;Uhrzeit Stunde;Time Hour;hour;109;265;264;Aktuelle Stunde eintragen (0-23).;Enter current hour (0-23).;0...23;0;23;1
37;Runtime;Time/Date;Uhrzeit Minute;Time Minute;minute;10A;266;265;Aktuelle Minute eintragen (0-59).;Enter current minute (0-59).;0...59;0;59;1
38;Runtime;Time/Date;Datum Tag;Date Day;day;10B;267;266;Aktuellen Tag eintragen (1-31).;Enter current day (1-31).;1...31;1;31;1
39;Runtime;Time/Date;Datum Monat;Date Month;month;10C;268;267;Aktuellen Monat eintragen (1-12).;Enter current month (1-12).;1...12;1;12;1
40;Runtime;Time/Date;Datum Jahr;Date Year;year;10D;269;268;Aktuelles Jahr eintragen (z. B. 26-->2026).;Enter current year (e.g. 26 for 2026).;15...99;15;99;1
